word,side,affix,root,root_free,method,zipf,freq,comp
adventitious,suffix,ious,advent,True,family,1.96,9.12e-08,-0.05515408143401146
monetary,suffix,ory,monet,True,family,4.1,1.26e-05,-0.054801907390356064
dislocates,prefix,dis,locate,True,family,1.69,4.9e-08,-0.05476211756467819
compound,prefix,co,pound,True,family,4.18,1.51e-05,-0.054235007613897324
reverse,prefix,re,verse,True,family,4.37,2.34e-05,-0.054173704236745834
wader,suffix,er,wade,True,freeroot,1.82,6.61e-08,-0.054046016186475754
sluggish,suffix,ish,slug,True,freeroot,3.25,1.78e-06,-0.05379039794206619
marcher,suffix,er,march,True,freeroot,1.95,8.91e-08,-0.05207928270101547
company,suffix,y,compan,True,family,5.6,0.000398,-0.05132023245096207
complex,prefix,co,plex,True,freeroot,4.86,7.24e-05,-0.0512419119477272
strikingly,suffix,ly,strike,True,family,3.12,1.32e-06,-0.05113597214221954
missy,suffix,y,miss,True,family,3.26,1.82e-06,-0.05080781504511833
bunker,suffix,er,bunk,True,family,3.67,4.68e-06,-0.050779592245817184
survive,prefix,sur,vive,True,family,4.52,3.31e-05,-0.04999841749668121
gusty,suffix,y,gust,True,family,2.59,3.89e-07,-0.0492975227534771
traverse,prefix,trans,verse,True,family,3.4,2.51e-06,-0.04928204417228699
overhaul,prefix,over,haul,True,family,3.59,3.89e-06,-0.047885410487651825
perisher,suffix,er,perish,True,family,1.6,3.98e-08,-0.047644514590501785
inspect,prefix,in,spect,True,family,3.63,4.27e-06,-0.047386571764945984
delta,suffix,a,delt,True,family,4.12,1.32e-05,-0.04596162214875221
mariner,suffix,er,marin,True,family,3.03,1.07e-06,-0.045845065265893936
uprising,prefix,up,rise,True,family,3.74,5.5e-06,-0.04522872343659401
forties,suffix,ity,for,True,freeroot,3.04,1.1e-06,-0.04506886377930641
dissolute,prefix,dis,solut,False,family,2.32,2.09e-07,-0.04496153071522713
versified,suffix,ify,verse,True,family,1.5,3.16e-08,-0.044670265167951584
referee,suffix,ee,refer,True,family,3.86,7.24e-06,-0.04372159391641617
twosome,suffix,some,two,True,family,2.19,1.55e-07,-0.04168345034122467
israelite,suffix,ite,israel,True,family,2.76,5.75e-07,-0.04138319194316864
distressingly,suffix,ly,distress,True,freeroot,1.98,9.55e-08,-0.04128973186016083
beheld,prefix,be,held,True,family,2.51,3.24e-07,-0.04097578674554825
exactions,suffix,ion,exact,True,family,1.68,4.79e-08,-0.040664538741111755
posey,suffix,y,pose,True,family,2.92,8.32e-07,-0.04059590399265289
dicky,suffix,y,dick,True,family,2.73,5.37e-07,-0.04032906889915466
marinate,suffix,ate,marin,True,family,2.59,3.89e-07,-0.04025254398584366
rotten,suffix,en,rot,True,family,3.81,6.46e-06,-0.04008064046502113
exclaim,prefix,ex,claim,True,family,2.82,6.61e-07,-0.03907983377575874
altitude,suffix,itude,alti,True,freeroot,3.92,8.32e-06,-0.03900858387351036
underscore,prefix,under,score,True,family,2.97,9.33e-07,-0.038944311439991
guardian,suffix,ian,guard,True,family,4.26,1.82e-05,-0.038884472101926804
syndicate,suffix,ate,syndic,True,freeroot,3.51,3.24e-06,-0.03878786042332649
bandage,suffix,age,band,True,family,3.24,1.74e-06,-0.037789151072502136
fledgling,suffix,ling,fledge,True,freeroot,3.1,1.26e-06,-0.03767792880535126
lunar,suffix,ar,lun,True,family,3.77,5.89e-06,-0.03760705888271332
deforest,prefix,de,forest,True,family,2.12,1.32e-07,-0.037354711443185806
predict,prefix,pre,dict,True,family,4.08,1.2e-05,-0.03698810935020447
unseeing,prefix,un,see,True,family,1.58,3.8e-08,-0.036559466272592545
tipper,suffix,er,tip,True,family,2.63,4.27e-07,-0.03652916103601456
musty,suffix,y,must,True,freeroot,2.83,6.76e-07,-0.03640996664762497
hawkish,suffix,ish,hawk,True,family,2.43,2.69e-07,-0.03618994355201721
outta,prefix,out,of,True,freeroot,4.1,1.26e-05,-0.03603467345237732
markedly,suffix,ly,mark,True,family,3.29,1.95e-06,-0.03542083501815796
undermine,prefix,under,mine,True,family,3.65,4.47e-06,-0.034331198781728745
interleave,prefix,inter,leave,True,freeroot,1.51,3.24e-08,-0.033844709396362305
encounter,prefix,en,counter,True,freeroot,4.26,1.82e-05,-0.03271248936653137
cometh,suffix,th,come,True,family,2.86,7.24e-07,-0.03269841521978378
appealingly,suffix,ly,appeal,True,freeroot,1.87,7.41e-08,-0.03260798007249832
inbuilt,prefix,in,built,True,family,2.39,2.45e-07,-0.03223587945103645
grounder,suffix,er,ground,True,family,2.42,2.63e-07,-0.03211691603064537
hewn,suffix,n,hew,True,family,2.67,4.68e-07,-0.031863853335380554
singer,suffix,er,sing,True,family,4.52,3.31e-05,-0.0318482406437397
supremely,suffix,ly,supreme,True,family,3.04,1.1e-06,-0.031714871525764465
neighbourly,suffix,ly,neighbour,True,family,2.12,1.32e-07,-0.031713563948869705
hawker,suffix,er,hawk,True,family,2.82,6.61e-07,-0.03159911930561066
downer,suffix,er,down,True,family,3.06,1.15e-06,-0.03141549602150917
substitute,prefix,sub,stitute,False,family,4.17,1.48e-05,-0.030990999191999435
merger,suffix,er,merge,True,family,3.97,9.33e-06,-0.02974841371178627
nightie,suffix,y,night,True,family,2.09,1.23e-07,-0.02912711724638939
upheld,prefix,up,held,True,family,3.59,3.89e-06,-0.028886722400784492
overcome,prefix,over,come,True,family,4.27,1.86e-05,-0.028494857251644135
vanity,suffix,ity,vane,True,freeroot,3.74,5.5e-06,-0.027208922430872917
sawn,suffix,n,saw,True,family,2.66,4.57e-07,-0.026638327166438103
legacy,suffix,acy,leg,True,family,4.37,2.34e-05,-0.026475470513105392
catchment,suffix,ment,catch,True,family,3.02,1.05e-06,-0.02634359337389469
lecture,suffix,ure,lect,True,freeroot,4.14,1.38e-05,-0.024886414408683777
unease,prefix,un,ease,True,family,2.78,6.03e-07,-0.0248421560972929
aerial,suffix,al,aero,True,family,3.91,8.13e-06,-0.024611707776784897
repeater,suffix,er,repeat,True,family,2.89,7.76e-07,-0.024543313309550285
easters,suffix,er,east,True,family,1.58,3.8e-08,-0.024411741644144058
denatured,prefix,de,nature,True,family,2.34,2.19e-07,-0.024250853806734085
armful,suffix,ful,arm,True,family,1.98,9.55e-08,-0.024213256314396858
protestation,suffix,ion,protest,True,family,1.85,7.08e-08,-0.023652467876672745
striker,suffix,er,strike,True,family,3.9,7.94e-06,-0.02348516322672367
gustatory,suffix,ory,gust,True,family,1.97,9.33e-08,-0.023344077169895172
delegate,suffix,ate,deleg,True,freeroot,3.7,5.01e-06,-0.02294105663895607
teamster,suffix,ster,team,True,freeroot,2.19,1.55e-07,-0.02290424145758152
appliance,suffix,ance,apply,True,family,3.35,2.24e-06,-0.021791592240333557
wireless,suffix,less,wire,True,family,4.2,1.58e-05,-0.02178276889026165
rarefaction,suffix,ion,rare,True,family,1.56,3.63e-08,-0.02152870036661625
extern,prefix,ex,tern,True,family,1.94,8.71e-08,-0.020695272833108902
ambulant,suffix,ant,amble,True,family,1.7,5.01e-08,-0.02054746448993683
birdie,suffix,y,bird,True,freeroot,3.26,1.82e-06,-0.02054113894701004
scorer,suffix,er,score,True,family,3.63,4.27e-06,-0.020343996584415436
forecast,prefix,fore,cast,True,family,4.09,1.23e-05,-0.020275717601180077
portage,suffix,age,port,True,family,3.0,1e-06,-0.020124897360801697
courser,suffix,er,course,True,family,2.0,1e-07,-0.019548477604985237
mastitis,suffix,itis,mast,True,family,2.27,1.86e-07,-0.019373824819922447
lodger,suffix,er,lodge,True,family,2.58,3.8e-07,-0.01934828795492649
amply,suffix,y,ample,True,family,2.61,4.07e-07,-0.01903574913740158
victory,suffix,y,victor,True,family,4.73,5.37e-05,-0.018910137936472893
leveller,suffix,er,level,True,freeroot,2.09,1.23e-07,-0.018590904772281647
finite,suffix,ite,fin,True,freeroot,3.75,5.62e-06,-0.01855556294322014
overthrow,prefix,over,throw,True,family,3.61,4.07e-06,-0.018238941207528114
undergone,prefix,under,gone,True,family,3.58,3.8e-06,-0.018045969307422638
environment,suffix,ment,environ,True,freeroot,4.87,7.41e-05,-0.01775939017534256
jobless,suffix,less,job,True,family,3.14,1.38e-06,-0.017165739089250565
unravel,prefix,un,ravel,True,freeroot,3.19,1.55e-06,-0.016915639862418175
commandment,suffix,ment,command,True,family,3.17,1.48e-06,-0.016107985749840736
discussion,suffix,ion,discus,True,freeroot,4.71,5.13e-05,-0.015987470746040344
