word,root,affix,side,zipf,comp
terrorize,terror,ize,suffix,2.79,0.3602248430252075
unneeded,needed,un,prefix,2.64,0.3602493405342102
outstretched,stretched,out,prefix,2.91,0.36052870750427246
washable,wash,able,suffix,2.61,0.36065393686294556
unsteady,steady,un,prefix,2.73,0.3613971471786499
restarts,starts,re,prefix,2.69,0.3614486753940582
reorganizing,organizing,re,prefix,2.55,0.3616335391998291
unelected,elected,un,prefix,2.77,0.3617720603942871
discontinuation,continuation,dis,prefix,2.63,0.3617974519729614
pronouncement,pronounce,ment,suffix,2.54,0.3618406653404236
resetting,setting,re,prefix,2.81,0.3620074689388275
instructive,instruct,ive,suffix,2.98,0.362039715051651
parallelism,parallel,ism,suffix,2.58,0.36216261982917786
prefabricated,fabricated,pre,prefix,2.79,0.3622868061065674
unbound,bound,un,prefix,2.85,0.3624793589115143
supermarket,market,super,prefix,3.78,0.36255335807800293
careful,care,ful,suffix,4.59,0.362826943397522
interpretive,interpret,ive,suffix,3.04,0.36294811964035034
unbelievable,believable,un,prefix,4.08,0.36299028992652893
unsealed,sealed,un,prefix,2.66,0.3637709319591522
unsubscribe,subscribe,un,prefix,3.03,0.363791286945343
intermarriage,marriage,inter,prefix,2.52,0.3639243245124817
wearable,wear,able,suffix,3.29,0.3639543056488037
interactions,actions,inter,prefix,4.16,0.3640238046646118
discards,cards,dis,prefix,2.58,0.3641566038131714
amazement,amaze,ment,suffix,3.0,0.3641778826713562
recounted,counted,re,prefix,3.2,0.3647693395614624
overcomes,comes,over,prefix,2.93,0.3648523688316345
commendation,commend,ation,suffix,3.0,0.36491185426712036
reloaded,loaded,re,prefix,2.91,0.3649645745754242
pretends,tends,pre,prefix,3.32,0.3651159405708313
commencement,commence,ment,suffix,3.48,0.3657720386981964
lethality,lethal,ity,suffix,2.52,0.36580953001976013
unplugged,plugged,un,prefix,3.11,0.36591315269470215
various,vary,ous,suffix,5.12,0.36596953868865967
dishonour,honour,dis,prefix,2.71,0.3660476505756378
redone,done,re,prefix,2.86,0.3661015033721924
painless,pain,less,suffix,3.16,0.36611828207969666
reconfiguration,configuration,re,prefix,2.5,0.3663184344768524
unwashed,washed,un,prefix,2.72,0.3663584291934967
classless,class,less,suffix,2.62,0.36672478914260864
untested,tested,un,prefix,2.85,0.36713504791259766
mistaken,taken,mis,prefix,3.98,0.3672822415828705
